Year,Total Women,Total Men,White Women,White Men,Black Women,Black Men,Asian Women,Asian Men,Hispanic Women,Hispanic Men,"White, non-Hispanic Women","White, non-Hispanic Men"
1960,24673,40665,,,,,,,,,,
1961,24862,41962,,,,,,,,,,
1962,25338,42729,,,,,,,,,,
1963,25820,43803,,,,,,,,,,
1964,26514,44826,,,,,,,,,,
1965,27245,45465,,,,,,,,,,
1966,27310,47450,,,,,,,,,,
1967,27852,48200,28717,49636,21436,32060,,,,,,
1968,28783,49494,29578,50824,22519,34318,,,,,,
1969,30769,50862,31394,54008,24785,36352,,,,,,
1970,31363,52828,31888,54342,26202,37520,,,,,,
1971,31571,53054,31898,54522,28302,37644,,,,,,
1972,32351,55911,32871,58053,28207,40012,,,,,,
1973,32673,57692,33184,59394,28299,40641,,,,,,
1974,32680,55622,32914,56817,30772,40876,,,27780,41659,,
1975,32512,55275,32551,56557,31355,42056,,,27863,40782,,
1976,33180,55123,33406,56590,31341,41427,,,28588,42062,,
1977,33211,56363,33419,58036,31203,40251,,,28964,41577,,
1978,33719,56727,33990,57683,31811,44516,,,29121,42320,,
1979,33437,56043,33697,57328,31042,41629,,,27811,40779,,
1980,33168,55133,33405,56748,31613,40129,,,28671,40162,,
1981,32483,54837,32773,56045,30312,39861,,,29040,39842,,
1982,33219,53800,33591,55140,30967,39572,,,28364,39263,,
1983,34064,53564,34433,54876,31065,39542,,,28553,39581,,
1984,34736,54567,35027,56315,32245,39098,,,29483,39812,,
1985,35501,54975,35891,56945,32510,39715,,,29688,38743,,
1986,36248,56399,36672,57897,32902,40953,,,30897,37550,,
1987,36508,56013,36862,57272,34004,41283,,,31357,37637,37261,58664
1988,36683,55539,37127,56731,34458,42444,40313,56508,30931,37194,37742,58875
1989,37468,54561,37774,56976,34713,40776,42645,56198,31266,36648,38411,59825
1990,37711,52657,38141,54945,34321,40169,40568,50920,29816,36406,38729,57327
1991,37729,54008,38171,55559,34364,40523,38869,55363,29819,36293,38722,56993
1992,38286,54087,38678,55268,35400,40116,40840,54670,30604,35001,39215,56817
1993,37994,53124,38476,54316,34621,40216,42533,53991,29278,35202,39105,55857
1994,38001,52802,38716,54076,34073,40631,41846,54868,30067,34765,39697,55857
1995,37595,52633,38287,53763,34533,40822,41572,52763,28706,34055,39542,57489
1996,38594,52323,39327,53661,34953,42979,41597,56079,30382,34274,40515,57691
1997,39790,53653,40360,56073,35109,42114,44264,55259,30230,34439,41291,58310
1998,40656,55563,41255,56863,35603,42523,42553,54750,30216,35033,42254,59320
1999,40507,56015,41015,57245,37290,45776,43978,56786,29838,34507,42226,62256
2000,40884,55458,42046,57520,37351,44812,45369,60377,30756,35399,44419,61407
2001,42289,55404,43324,57661,38497,45381,44417,60583,31112,36308,44585,60334
2002,43041,56189,43551,57772,38308,44771,44794,59681,31223,37010,44750,60534
2003,42811,56667,43431,57424,37573,44925,45407,63509,31161,36344,44667,62365
2004,42385,55350,42922,56375,37628,42450,48843,62401,31850,36166,44130,61788
2005,41807,54311,42221,55093,38939,43407,47364,63081,31776,35129,44768,60939
2006,41330,53718,42923,56122,38580,44196,49971,65383,32029,36939,45422,61547
2007,43388,55762,43930,56868,38329,44582,49904,62680,32894,37326,45419,62210
2008,42548,55192,43087,56386,37482,44411,50250,61113,31955,36850,44505,60997
2009,43333,56292,43855,58159,38013,44788,50564,61826,32467,37498,46027,61402
2010,43347,56347,43916,58973,37959,43295,48513,60770,33116,37107,47341,61058
2011,42284,54911,42969,57039,38164,44978,46572,62746,33059,36275,45949,59600
2012,42158,55106,43521,56242,37801,42966,50854,65500,31709,35969,45640,58606
2013,43044,55000,44248,55558,37473,44918,46538,63353,33208,35530,45508,58798
2013,42644,54980,44151,55701,35676,43022,49841,63012,33707,35270,45330,60618
2014,42829,54462,43713,55153,36248,44016,50085,61552,32746,37331,45208,59961
2015,43965,55263,44478,55946,39067,44356,52305,66889,33570,38495,46470,61729
2016,44270,55015,44858,55638,38595,43992,53923,69891,33582,39796,48731,61711
2017,43779,54385,44820,55810,38312,43883,53584,70579,33376,40545,48510,62981
2017,44449,54427,47116,56083,38593,43519,54196,70780,33535,39220,49525,63005
2018,45914,56293,46592,57389,38725,45190,56576,71652,34148,40733,49267,62692
2019,47299,57456,48845,60017,41098,45644,56807,75671,36110,41519,51324,65208
